"Product","Online title","Online description","Cost","Price","Strain"
LILY - Oria | Soft Lozenge | Dill With It | 100mg,Oria | Soft Lozenge | Dill With It | 100mg,,6.25,25,Multi Harvest
LILY - Oria | Soft Lozenge | Rasberry Tangerine | 100mg,Oria | Soft Lozenge | Rasberry Tangerine | 100mg,,7,25,Multi Harvest
LILY - Oria | Soft Lozenge | Focus : Squeeze the Day | 100mg THC - 50mg CBG,Oria | Soft Lozenge | Focus : Squeeze the Day | 100mg THC - 50mg CBG,,6.25,25,Multi Harvest
LILY - Oria | Soft Lozenge | Peach Mango | 100mg,Oria | Soft Lozenge | Peach Mango | 100mg,,7,25,Multi Harvest
LILY- Airo | Ready To Go Liquid Diamonds Bundle | Lemon Sherbert | 1g,Airo | Ready To Go Liquid Diamonds Bundle | Lemon Sherbert | 1g,,32,80,Lemon Sherbert
LILY - Oria | Soft Lozenge | Pink Pineapple Yuzu | 100mg,Oria | Soft Lozenge | Pink Pineapple Yuzu | 100mg,,7,25,Multi Harvest
LILY - Oria | Soft Lozenge | Bahama Breeze | 100mg,Oria | Soft Lozenge | Bahama Breeze | 100mg,,6.25,25,Multi Harvest
LILY - Airo | Distillate Disposable | Midnight Moon | 1g,Airo | Distillate Disposable | Midnight Moon | 1g,,24,60,Midnight Moon
LILY - Airo | Distillate Disposable | Cherry AK | 1g,Airo | Distillate Disposable | Cherry AK | 1g,,26,65,Cherry AK
LILY - Oria | Soft Lozenge | Berry Bliss | 100mg,Oria | Soft Lozenge | Berry Bliss | 100mg,,6.25,25,Multi Harvest
LILY - Oria | Soft Lozenge | Black Mamba | 100mg (TEAM),,,0.01,0.01,Multi Harvest
LILY- Hash Hole | Fill It Super | 1.2g,Lily Extracts | Hash Hole | Fill It Super | 1.2g,,27,60,Fill It Super
LILY - Airo | Ice Series Distillate Pod | Arctic Berry | 1g,Airo | Ice Series Distillate Pod | Arctic Berry | 1g,,23.6,60,Arctic Berry
LILY - Airo | Ice Series Distillate Disposable | Arctic Berry | 2g,Airo | Ice Series Distillate Disposable | Arctic Berry | 2g,,38,95,Arctic Berry
LILY- Airo | Liquid Diamonds Disposable | London Pound Cake #75 | 1g,Airo | Liquid Diamonds Disposable | London Pound Cake #75 | 1g,,30,75,London Pound Cake #75
LILY - Oria | Soft Lozenge | Sourberry Squeeze | 100mg,Oria | Soft Lozenge | Sourberry Squeeze | 100mg,,6.25,25,Multi Harvest
LILY- Live Rosin Pectin Chews | Passion Fruit | 10pk/100mg,Lily Extracts | Live Rosin Pectin Chews | Passion Fruit | 10pk/100mg,,13.175,32,Multi Harvest
LILY- Bubble Hash | Cowboy Cookies | 1g,Lily Extracts | Bubble Hash | Cowboy Cookies | 1g,,45,100,Cowboy Cookies
LILY - Airo | Distillate Disposable | Black Mamba | 1g,Airo | Distillate Disposable | Black Mamba | 1g,,26,65,Black Mamba
LILY - Airo | Ready To Go Artisan Bundle | Black Mamba | 1g,Airo | Ready To Go Artisan Bundle | Black Mamba | 1g,,24,70,Black Mamba
LILY - Airo | Ready To Go Distillate Bundle | Blackberry Cobbler | 1g,Airo | Ready To Go Distillate Bundle | Blackberry Cobbler | 1g,,28,70,Blackberry Cobbler
LILY - Airo | Distillate Pod | Midnight Moon | 1g,Airo | Distillate Pod | Midnight Moon | 1g,,23.6,60,Midnight Moon
LILY - Airo | Distillate Disposable | Midnight Moon | 2g,Airo | Distillate Disposable | Midnight Moon | 2g,,38,95,Midnight Moon
LILY- Airo | Liquid Diamonds Disposable | Cherry Cookies | 1g,Airo | Liquid Diamonds Disposable | Cherry Cookies | 1g,,30,75,Cherry Cookies
LILY- Airo | Liquid Diamonds Disposable | Red Punch | 1g,Airo | Liquid Diamonds Disposable | Red Punch | 1g,,30,75,Red Punch
LILY - GMO Tang | Live Rosin Cold Cure | 1g,Lily Extracts | GMO Tang | Live Rosin Cold Cure | 1g,,45,100,GMO Tang
LILY- Airo | Liquid Diamonds Pod | Bolo Runtz | .5g (TEAM),,Airo Liquid Diamonds Disposable Bolo Runtz offers candy-like sweetness and powerful effects in a discreet disposable. Find it now at Hashery.,0.01,0.01,Multi Harvest
LILY- Pink Gushers LR .5G CART,Pink Gushers | Live Rosin | Cartridge | 0.5g,,42,85,Pink Gushers
LILY- Live Rosin Cart | Nana Berri Blast | .5g,Nana Berri Blast | Live Rosin | Cartridge | 0.5g,,36,72,NANA BERRI BLAST
LILY- SOUR DIESEL LR .5G DISP,Lily Extracts | Disposable | Sour Diesel | .5g,,32.4,64.8,Sour Diesel
LILY- Happy Hour LR .5 G DISP,Happy Hour | Live Rosin | Disposable | 0.5g,,42,85,Happy Hour
LILY- Live Rosin Cart | Mango Lemonade | .5g,Mango Lemonade | Live Rosin | Cartridge | 0.5g,,40.5,81,Mango Lemonade
LILY- ORANGE SHERBERT LR .5G CART,Orange Sherbert | Live Rosin | Cartridge | 0.5g,,42,85,Orange Sherbert
LILY- Live Rosin Pectin Chews | Hashberry | 10pk/100mg,Lily Extracts | Live Rosin Pectin Chews | Hashberry | 10pk/100mg,,13.6,32,Multi Harvest
LILY- Live Rosin Pectin Chews | Pina Express Colada | 10pk/100mg,Lily Extracts | Live Rosin Pectin Chews | Pina Express Colada | 10pk/100mg,,13.6,32,KY Jealous
LILY- Live Rosin Pectin Chews | Wild Cherry Cannapunch | 10pk/100mg,Lily Extracts | Live Rosin Pectin Chews | Wild Cherry Cannapunch | 10pk/100mg,,13.6,32,Multi Harvest
LILY- Pound Town LR .5G Disposable,,,40.5,82,Pound Town
LILY- Bubble Hash | Mango Lemonade | .5g,Lily Extracts | Bubble Hash | Mango Lemonade | .5g,,31.88,75,Mango Lemonade
LILY- Bubble Hash | Pink Gushers | .5g,Lily Extracts- Bubble Hash | Pink Gushers | .5g,,31.88,70,Pink Gushers
LILY- Live Rosin Disposable | Kiwi Kandy | .5g,Lily Extracts | Disposable | Live Rosin | Kiwi Kandy | .5g,,36,72,Kiwi Kandy
LILY- Live Rosin Disposable | Night Charmer | .5g,Lily Extracts | Disposable | Live Rosin | Night Charmer | .5g,,32.4,72,Night Charmer
LILY- LILY | Live Rosin Disposable | Trainwreck | .5g,Lily Extracts | Disposable | Live Rosin | Trainwreck | .5g,,32.4,72,Trainwreck
LILY - Night Charmer Cold Cure (H) Live Rosin .5g,Lily Extracts | Live Rosin | Night Charmer Cold Cure (H) | .5g,,33,66,Night Charmer
LILY - Dark Krystal Rosin Isolate .5g,Lily Extracts | Rosin Isolate | Dark Krystal | .5g,,33,66,Dark Krystal
LILY- Live Rosin Pectin Chews | Raspberry Cherry Limeade | 10pk/100mg,Lily Extracts | Live Rosin Pectin Chews | Raspberry Cherry Limeade | 10pk/100mg,,13.6,32,Multi Harvest
LILY- Live Rosin Pectin Chews | Watermelon Pineapple Lemonade | 10pk/100mg,Lily Extracts | Live Rosin Pectin Chews | Watermelon Pineapple Lemonade | 10pk/100mg,,13.6,32,Multi Harvest
LILY - Twister | Live Rosin Cold Cure 1g,Lily Extracts | Live Rosin Cold Cure | Twister | 1g,,45,90,Twister
LILY - Sour Diesel | Live Rosin Cold Cure 1g,Lily Extracts | Live Rosin Cold Cure | Sour Diesel | 1g,,45,90,Sour Diesel
LILY - Donnie Burger | Live Rosin Cold Cure 1g,Lily Extracts | Live Rosin Cold Cure | Donnie Burger | 1g,,45,90,Donnie Burger
Essential Extracts - Cold Cure Rosin | Rainbow Guava | .5g,Essential Extracts | Cold Cure Rosin | Rainbow Guava | .5g,,33,66,Rainbow Guava
Essential Extracts | Rainbow Guava | .5G,Essential Extracts | Disposable | Rainbow Guava | .5g,,36,72,Rainbow Guava
LILY- Live Rosin Disposable | Donnie Burger | .5g,Lily Extracts | Disposable | Live Rosin | Donnie Burger | .5g,,32.4,72,Donnie Burger
LILY- Hash Infused Preroll | Cruz Control | 1.2g,Lily Extracts | Hash Infused Preroll | Cruz Control | 1.2g,,20.25,45,Cruz Control
LILY- Hash Infused Preroll | E-Brake | 1.2g,Lily Extracts | Hash Infused Preroll | E-Brake | 1.2g,,20.25,45,E-Brake
LILY- Hash Infused Preroll | Spark Plug | 1.2g,Lily Extracts | Hash Infused Preroll | Spark Plug | 1.2g,,20.25,45,Spark Plug
LILY- Airo | Liquid Diamonds Pod | Animal Mintz | 1g,Airo | Liquid Diamonds Pod | Animal Mintz | 1g,,28,70,Animal Mintz
LILY- Airo | Liquid Diamonds Pod | Bolo Runtz | 1g,Airo | Liquid Diamonds Pod | Bolo Runtz | 1g,Airo Liquid Diamonds Pod Bolo Runtz combines candy sweetness with smooth clarity for a top-tier vaping experience. Find it now at Hashery.,28,70,Bolo Runtz
LILY- LILY | Live Rosin Cart | Trainwreck | .5g,Lily Extracts | Live Rosin Cart | Trainwreck | .5g,,30.6,68,Trainwreck
LILY- LILY | Live Rosin Cart | Twister | .5g,Lily Extracts | Live Rosin Cart | Twister | .5g,,29.25,65,Twister
LILY- LILY | Live Rosin Disposable | Bubba Kush | .5g,Lily Extracts | Live Rosin Disposable | Bubba Kush | .5g,,21.375,60,Bubba Kush
LILY- Essential Extracts | Live Rosin Disposable | Triple OG EE | .5g,Essential Extracts | Live Rosin Disposable | Triple OG EE | .5g,,36,72,Triple OG
